gcLogFile; g1gc_threads2.log; -
totalHeapAllocMax; 248; M
totalHeapUsedMax; 145; M
totalHeapUsedMaxpc; 58.5; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 25; M
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 139; M
freedMemoryByFullGCpc; 40.4; %
avgFreedMemoryByFullGC; 46.333; M/coll
avgFreedMemoryByFullGCσ; 20.257; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 0; B/s
avgRelativePostFullGCInc; 0; B/coll
avgfootprintAfterGC; 3,413.333; K
avgfootprintAfterGCσ; 591.207; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; 1,520.75; K/s
avgRelativePostGCInc; 512; K/coll
freedMemoryByGC; 205; M
freedMemoryByGCpc; 59.6; %
avgFreedMemoryByGC; 68.333; M/coll
avgFreedMemoryByGCσ; 64.065; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -71,652,693; B
promotionTotal; -214,958,080; B
pauseCount; 6; -
avgPauseIsSig; false; bool
avgPause; 0.01918; s
avgPauseσ; 0.01736; s
minPause; 0.00294; s
maxPause; 0.03931; s
gcPauseCount; 3; -
avgGCPauseIsSig; true; bool
avgGCPause; 0.00356; s
avgGCPauseσ; 0.00056; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.0348; s
avgFullGCPauseσ; 0.00459; s
minFullGCPause; 0.03014; s
maxFullGCPause; 0.03931; s
accumPause; 0.12; s
fullGCPause; 0.1; s
fullGCPausePc; 90.7; %
gcPause; 0.01; s
gcPausePc; 9.3; %
footprint; 248; M
freedMemory; 344; M
throughput; 93.4; %
totalTime; 1; s
freedMemoryPerMin; 11,835.147; M/min
gcPerformance; 19,189.366; M/s
fullGCPerformance; 1,331.341; M/s
