gcLogFile; g1gc.log; -
totalHeapAllocMax; 354; M
totalHeapUsedMax; 219; M
totalHeapUsedMaxpc; 61.9; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 3,072; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 15; M
freedMemoryByFullGCpc; 0.3; %
avgFreedMemoryByFullGC; 15; M/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 10.684; M
avgfootprintAfterGCσ; 1,067.503; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 4,566; M
freedMemoryByGCpc; 99.7; %
avgFreedMemoryByGC; 120.158; M/coll
avgFreedMemoryByGCσ; 58.522; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -125,994,685; B
promotionTotal; -4,787,798,016; B
pauseCount; 39; -
avgPauseIsSig; false; bool
avgPause; 0.0039; s
avgPauseσ; 0.00215; s
minPause; 0.00236; s
maxPause; 0.01489; s
gcPauseCount; 38; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00361; s
avgGCPauseσ; 0.00118; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01489; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.01489; s
maxFullGCPause; 0.01489; s
accumPause; 0.15; s
fullGCPause; 0.01; s
fullGCPausePc; 9.8; %
gcPause; 0.14; s
gcPausePc; 90.2; %
footprint; 354; M
freedMemory; 4,581; M
throughput; 98.35; %
totalTime; 9; s
freedMemoryPerMin; 29,755.657; M/min
gcPerformance; 33,242.086; M/s
fullGCPerformance; 1,007.455; M/s
