gcLogFile; g1gc_pause50.log; -
totalHeapAllocMax; 354; M
totalHeapUsedMax; 219; M
totalHeapUsedMaxpc; 61.9; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 3,072; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 4,096; K
freedMemoryByFullGCpc; 0.1; %
avgFreedMemoryByFullGC; 4,096; K/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 10; M
avgfootprintAfterGCσ; 1,652.627; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 4,697; M
freedMemoryByGCpc; 99.9; %
avgFreedMemoryByGC; 106.75; M/coll
avgFreedMemoryByGCσ; 55.071; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -111,935,488; B
promotionTotal; -4,925,161,472; B
pauseCount; 45; -
avgPauseIsSig; false; bool
avgPause; 0.00394; s
avgPauseσ; 0.00344; s
minPause; 0.00192; s
maxPause; 0.02399; s
gcPauseCount; 44; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00376; s
avgGCPauseσ; 0.00326; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01184; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.01184; s
maxFullGCPause; 0.01184; s
accumPause; 0.18; s
fullGCPause; 0.01; s
fullGCPausePc; 6.7; %
gcPause; 0.17; s
gcPausePc; 93.3; %
footprint; 354; M
freedMemory; 4,701; M
throughput; 98.48; %
totalTime; 11; s
freedMemoryPerMin; 24,240.464; M/min
gcPerformance; 28,376.378; M/s
fullGCPerformance; 337.895; M/s
