gcLogFile; g1gc.log; -
totalHeapAllocMax; 1,694; M
totalHeapUsedMax; 1,537; M
totalHeapUsedMaxpc; 90.7; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 445; M
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 248; M
freedMemoryByFullGCpc; 0.7; %
avgFreedMemoryByFullGC; 248; M/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 417.561; M
avgfootprintAfterGCσ; 224.457; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 46.693; M/s
avgRelativePostGCInc; 24.264; M/coll
freedMemoryByGC; 33,337; M
freedMemoryByGCpc; 99.3; %
avgFreedMemoryByGC; 584.86; M/coll
avgFreedMemoryByGCσ; 260.917; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -613,269,791; B
promotionTotal; -34,956,378,112; B
pauseCount; 58; -
avgPauseIsSig; false; bool
avgPause; 0.03753; s
avgPauseσ; 0.04603; s
minPause; 0.00245; s
maxPause; 0.3537; s
gcPauseCount; 57; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.03198; s
avgGCPauseσ; 0.01845; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.3537; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.3537; s
maxFullGCPause; 0.3537; s
accumPause; 2.18; s
fullGCPause; 0.35; s
fullGCPausePc; 16.3; %
gcPause; 1.82; s
gcPausePc; 83.7; %
footprint; 1,694; M
freedMemory; 33,585; M
throughput; 94.59; %
totalTime; 40; s
freedMemoryPerMin; 50,045.141; M/min
gcPerformance; 18,287.963; M/s
fullGCPerformance; 701.165; M/s
