gcLogFile; g1gc_threads2.log; -
totalHeapAllocMax; 1,660; M
totalHeapUsedMax; 1,505; M
totalHeapUsedMaxpc; 90.7; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 445; M
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 373; M
freedMemoryByFullGCpc; 1.1; %
avgFreedMemoryByFullGC; 373; M/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 420.143; M
avgfootprintAfterGCσ; 229.656; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 41.824; M/s
avgRelativePostGCInc; 24.377; M/coll
freedMemoryByGC; 33,623; M
freedMemoryByGCpc; 98.9; %
avgFreedMemoryByGC; 600.411; M/coll
avgFreedMemoryByGCσ; 269.714; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -629,576,265; B
promotionTotal; -35,256,270,848; B
pauseCount; 57; -
avgPauseIsSig; false; bool
avgPause; 0.04034; s
avgPauseσ; 0.04531; s
minPause; 0.00578; s
maxPause; 0.35111; s
gcPauseCount; 56; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.03479; s
avgGCPauseσ; 0.01741; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.35111; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.35111; s
maxFullGCPause; 0.35111; s
accumPause; 2.3; s
fullGCPause; 0.35; s
fullGCPausePc; 15.3; %
gcPause; 1.95; s
gcPausePc; 84.7; %
footprint; 1,660; M
freedMemory; 33,996; M
throughput; 95.24; %
totalTime; 48; s
freedMemoryPerMin; 42,254.645; M/min
gcPerformance; 17,255.758; M/s
fullGCPerformance; 1,062.357; M/s
