gcLogFile; g1gc_pause50.log; -
totalHeapAllocMax; 840; M
totalHeapUsedMax; 711; M
totalHeapUsedMaxpc; 84.6; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 3,072; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 7,168; K
freedMemoryByFullGCpc; 0.2; %
avgFreedMemoryByFullGC; 7,168; K/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 98.714; M
avgfootprintAfterGCσ; 92.798; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 0; B/s
avgRelativePostGCInc; 0; B/coll
freedMemoryByGC; 4,517; M
freedMemoryByGCpc; 99.8; %
avgFreedMemoryByGC; 129.057; M/coll
avgFreedMemoryByGCσ; 121.169; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -143,527,812; B
promotionTotal; -4,736,417,792; B
pauseCount; 36; -
avgPauseIsSig; false; bool
avgPause; 0.01415; s
avgPauseσ; 0.01109; s
minPause; 0.00047; s
maxPause; 0.04063; s
gcPauseCount; 35; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.01416; s
avgGCPauseσ; 0.01125; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01382; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.01382; s
maxFullGCPause; 0.01382; s
accumPause; 0.51; s
fullGCPause; 0.01; s
fullGCPausePc; 2.7; %
gcPause; 0.5; s
gcPausePc; 97.3; %
footprint; 840; M
freedMemory; 4,524; M
throughput; 95.73; %
totalTime; 11; s
freedMemoryPerMin; 22,759.283; M/min
gcPerformance; 9,112.624; M/s
fullGCPerformance; 506.586; M/s
