gcLogFile; g1gc_threads2.log; -
totalHeapAllocMax; 826; M
totalHeapUsedMax; 704; M
totalHeapUsedMaxpc; 85.2; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 3,072; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 28; M
freedMemoryByFullGCpc; 0.6; %
avgFreedMemoryByFullGC; 28; M/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 109.054; M
avgfootprintAfterGCσ; 90.169; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 4,626; M
freedMemoryByGCpc; 99.4; %
avgFreedMemoryByGC; 125.027; M/coll
avgFreedMemoryByGCσ; 122.905; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -146,991,290; B
promotionTotal; -4,850,712,576; B
pauseCount; 38; -
avgPauseIsSig; false; bool
avgPause; 0.01328; s
avgPauseσ; 0.00983; s
minPause; 0.00031; s
maxPause; 0.04116; s
gcPauseCount; 37; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.01336; s
avgGCPauseσ; 0.00995; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01026; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.01026; s
maxFullGCPause; 0.01026; s
accumPause; 0.5; s
fullGCPause; 0.01; s
fullGCPausePc; 2.0; %
gcPause; 0.49; s
gcPausePc; 98.0; %
footprint; 826; M
freedMemory; 4,654; M
throughput; 95.8; %
totalTime; 12; s
freedMemoryPerMin; 23,232.24; M/min
gcPerformance; 9,355.453; M/s
fullGCPerformance; 2,727.716; M/s
