gcLogFile; zgc_nogen.log; -
totalHeapAllocMax; 2,932; M
totalHeapUsedMax; 2,932; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; n/a; M
totalTenuredUsedMax; n/a; M
totalTenuredUsedMaxpc; n/a; %
totalYoungAllocMax; n/a; M
totalYoungUsedMax; n/a; M
totalYoungUsedMaxpc; n/a; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
footprintAfterFullGC; n.a.; M
slopeAfterFullGC; n.a.; M/s
freedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGCσ; n.a.; M
avgFreedMemoryByFullGCisSig; n.a.; bool
avgfootprintAfterGC; 269.6; M
avgfootprintAfterGCσ; 256.567; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 4,084; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 816.8; M/coll
avgFreedMemoryByGCσ; 867.099; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; n.a.; M
promotionTotal; n.a.; M
pauseCount; 5; -
avgPauseIsSig; false; bool
avgPause; 0.00005; s
avgPauseσ; 0.00002; s
minPause; 0.00003; s
maxPause; 0.00006; s
gcPauseCount; 5; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00005; s
avgGCPauseσ; 0.00002; s
avgFullGCPause; n.a.; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 2,932; M
freedMemory; 4,084; M
throughput; 100; %
totalTime; 10; s
freedMemoryPerMin; 22,373.867; M/min
gcPerformance; 15,768,339.768; M/s
fullGCPerformance; n.a.; M/s
