gcLogFile; g1gc_threads2.log; -
totalHeapAllocMax; 534; M
totalHeapUsedMax; 335; M
totalHeapUsedMaxpc; 62.7; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 3,072; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 71; M
freedMemoryByFullGCpc; 0.3; %
avgFreedMemoryByFullGC; 71; M/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 16.5; M
avgfootprintAfterGCσ; 2,431.566; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; 0; B/s
avgRelativePostGCInc; 0; B/coll
freedMemoryByGC; 23,379; M
freedMemoryByGCpc; 99.7; %
avgFreedMemoryByGC; 229.206; M/coll
avgFreedMemoryByGCσ; 97.374; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -245,146,583; B
promotionTotal; -24,514,658,304; B
pauseCount; 103; -
avgPauseIsSig; false; bool
avgPause; 0.00307; s
avgPauseσ; 0.00175; s
minPause; 0.00024; s
maxPause; 0.01231; s
gcPauseCount; 102; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00298; s
avgGCPauseσ; 0.0015; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01231; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.01231; s
maxFullGCPause; 0.01231; s
accumPause; 0.32; s
fullGCPause; 0.01; s
fullGCPausePc; 3.9; %
gcPause; 0.3; s
gcPausePc; 96.1; %
footprint; 534; M
freedMemory; 23,450; M
throughput; 98.11; %
totalTime; 16; s
freedMemoryPerMin; 83,874.104; M/min
gcPerformance; 76,858.844; M/s
fullGCPerformance; 5,768.606; M/s
