gcLogFile; g1gc.log; -
totalHeapAllocMax; 528; M
totalHeapUsedMax; 331; M
totalHeapUsedMaxpc; 62.7; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 3,072; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 71; M
freedMemoryByFullGCpc; 0.3; %
avgFreedMemoryByFullGC; 71; M/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 16.485; M
avgfootprintAfterGCσ; 2,466.828; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; 0; B/s
avgRelativePostGCInc; 0; B/coll
freedMemoryByGC; 23,269; M
freedMemoryByGCpc; 99.7; %
avgFreedMemoryByGC; 235.04; M/coll
avgFreedMemoryByGCσ; 102.167; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -251,539,329; B
promotionTotal; -24,399,314,944; B
pauseCount; 100; -
avgPauseIsSig; false; bool
avgPause; 0.00291; s
avgPauseσ; 0.00159; s
minPause; 0.00029; s
maxPause; 0.01451; s
gcPauseCount; 99; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00279; s
avgGCPauseσ; 0.00107; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01451; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.01451; s
maxFullGCPause; 0.01451; s
accumPause; 0.29; s
fullGCPause; 0.01; s
fullGCPausePc; 5.0; %
gcPause; 0.28; s
gcPausePc; 95.0; %
footprint; 528; M
freedMemory; 23,340; M
throughput; 98.13; %
totalTime; 15; s
freedMemoryPerMin; 90,036.645; M/min
gcPerformance; 84,237.163; M/s
fullGCPerformance; 4,894.526; M/s
