gcLogFile; g1gc_pause50.log; -
totalHeapAllocMax; 248; M
totalHeapUsedMax; 22; M
totalHeapUsedMaxpc; 8.9; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 2,048; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 7,168; K
freedMemoryByFullGCpc; 5.3; %
avgFreedMemoryByFullGC; 7,168; K/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 3,328; K
avgfootprintAfterGCσ; 1,059.941; K
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 0; B/s
avgRelativePostGCInc; 0; B/coll
freedMemoryByGC; 125; M
freedMemoryByGCpc; 94.7; %
avgFreedMemoryByGC; 15.625; M/coll
avgFreedMemoryByGCσ; 3,371.322; K/coll
avgFreedMemoryByGCisSig; true; bool
avgPromotion; -16,384,000; B
promotionTotal; -131,072,000; B
pauseCount; 9; -
avgPauseIsSig; false; bool
avgPause; 0.00392; s
avgPauseσ; 0.00289; s
minPause; 0.00131; s
maxPause; 0.01107; s
gcPauseCount; 8; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00303; s
avgGCPauseσ; 0.00115; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01107; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.01107; s
maxFullGCPause; 0.01107; s
accumPause; 0.04; s
fullGCPause; 0.01; s
fullGCPausePc; 31.4; %
gcPause; 0.02; s
gcPausePc; 68.6; %
footprint; 248; M
freedMemory; 132; M
throughput; 99.6; %
totalTime; 8; s
freedMemoryPerMin; 898.78; M/min
gcPerformance; 5,161.876; M/s
fullGCPerformance; 632.111; M/s
