gcLogFile; g1gc.log; -
totalHeapAllocMax; 248; M
totalHeapUsedMax; 107; M
totalHeapUsedMaxpc; 43.1; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 9,216; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 95; M
freedMemoryByFullGCpc; 1.7; %
avgFreedMemoryByFullGC; 95; M/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 16.333; M
avgfootprintAfterGCσ; 2,260.805; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; 4,104.208; K/s
avgRelativePostGCInc; 4,096; K/coll
freedMemoryByGC; 5,607; M
freedMemoryByGCpc; 98.3; %
avgFreedMemoryByGC; 71.885; M/coll
avgFreedMemoryByGCσ; 26.376; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -77,360,074; B
promotionTotal; -5,879,365,632; B
pauseCount; 79; -
avgPauseIsSig; false; bool
avgPause; 0.00359; s
avgPauseσ; 0.00405; s
minPause; 0.0002; s
maxPause; 0.02875; s
gcPauseCount; 78; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00326; s
avgGCPauseσ; 0.00288; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.02875; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.02875; s
maxFullGCPause; 0.02875; s
accumPause; 0.28; s
fullGCPause; 0.03; s
fullGCPausePc; 10.2; %
gcPause; 0.25; s
gcPausePc; 89.8; %
footprint; 248; M
freedMemory; 5,702; M
throughput; 98.76; %
totalTime; 22; s
freedMemoryPerMin; 15,016.207; M/min
gcPerformance; 22,029.27; M/s
fullGCPerformance; 3,303.888; M/s
