gcLogFile; g1gc_threads2.log; -
totalHeapAllocMax; 312; M
totalHeapUsedMax; 231; M
totalHeapUsedMaxpc; 74.0; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 3,072; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 7,168; K
freedMemoryByFullGCpc; 3.6; %
avgFreedMemoryByFullGC; 7,168; K/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 82.105; M
avgfootprintAfterGCσ; 66.744; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 187; M
freedMemoryByGCpc; 96.4; %
avgFreedMemoryByGC; 10,078.316; K/coll
avgFreedMemoryByGCσ; 16.136; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -15,083,362; B
promotionTotal; -196,083,712; B
pauseCount; 20; -
avgPauseIsSig; false; bool
avgPause; 0.01081; s
avgPauseσ; 0.00904; s
minPause; 0.00024; s
maxPause; 0.03547; s
gcPauseCount; 19; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.01067; s
avgGCPauseσ; 0.00927; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01335; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.01335; s
maxFullGCPause; 0.01335; s
accumPause; 0.22; s
fullGCPause; 0.01; s
fullGCPausePc; 6.2; %
gcPause; 0.2; s
gcPausePc; 93.8; %
footprint; 312; M
freedMemory; 194; M
throughput; 93.59; %
totalTime; 3; s
freedMemoryPerMin; 3,453.263; M/min
gcPerformance; 922.118; M/s
fullGCPerformance; 524.462; M/s
