gcLogFile; g1gc.log; -
totalHeapAllocMax; 426; M
totalHeapUsedMax; 233; M
totalHeapUsedMaxpc; 54.7; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 3,072; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 7,168; K
freedMemoryByFullGCpc; 4.2; %
avgFreedMemoryByFullGC; 7,168; K/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 61.125; M
avgfootprintAfterGCσ; 51.668; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 161; M
freedMemoryByGCpc; 95.8; %
avgFreedMemoryByGC; 10.062; M/coll
avgFreedMemoryByGCσ; 17.548; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -14,068,395; B
promotionTotal; -168,820,736; B
pauseCount; 17; -
avgPauseIsSig; false; bool
avgPause; 0.01153; s
avgPauseσ; 0.00838; s
minPause; 0.00009; s
maxPause; 0.0338; s
gcPauseCount; 16; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.01139; s
avgGCPauseσ; 0.00863; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01387; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.01387; s
maxFullGCPause; 0.01387; s
accumPause; 0.2; s
fullGCPause; 0.01; s
fullGCPausePc; 7.1; %
gcPause; 0.18; s
gcPausePc; 92.9; %
footprint; 426; M
freedMemory; 168; M
throughput; 93.67; %
totalTime; 3; s
freedMemoryPerMin; 3,252.287; M/min
gcPerformance; 883.77; M/s
fullGCPerformance; 504.868; M/s
