gcLogFile; zgc_nogen.log; -
totalHeapAllocMax; 402; M
totalHeapUsedMax; 402; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; n/a; M
totalTenuredUsedMax; n/a; M
totalTenuredUsedMaxpc; n/a; %
totalYoungAllocMax; n/a; M
totalYoungUsedMax; n/a; M
totalYoungUsedMaxpc; n/a; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
footprintAfterFullGC; n.a.; M
slopeAfterFullGC; n.a.; M/s
freedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGCσ; n.a.; M
avgFreedMemoryByFullGCisSig; n.a.; bool
avgfootprintAfterGC; 189; M
avgfootprintAfterGCσ; 210.718; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 72; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 36; M/coll
avgFreedMemoryByGCσ; 39.598; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; n.a.; M
promotionTotal; n.a.; M
pauseCount; 2; -
avgPauseIsSig; false; bool
avgPause; 0.00004; s
avgPauseσ; 0.00002; s
minPause; 0.00003; s
maxPause; 0.00005; s
gcPauseCount; 2; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00004; s
avgGCPauseσ; 0.00002; s
avgFullGCPause; n.a.; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 402; M
freedMemory; 72; M
throughput; 100; %
totalTime; 2; s
freedMemoryPerMin; 1,825.825; M/min
gcPerformance; 837,209.302; M/s
fullGCPerformance; n.a.; M/s
