gcLogFile; zgc_nogen_1500M.log; -
totalHeapAllocMax; 1,280; M
totalHeapUsedMax; 1,068; M
totalHeapUsedMaxpc; 83.4; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 302.75; M
avgfootprintAfterGCσ; 200.698; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 24.544; M/s
avgRelativePostGCInc; 4,862.269; K/coll
freedMemoryByGC; 5,814; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 242.25; M/coll
avgFreedMemoryByGCσ; 204.856; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 24; -
avgPauseIsSig; false; bool
avgPause; 0.00006; s
avgPauseσ; 0.00002; s
minPause; 0.00004; s
maxPause; 0.00015; s
gcPauseCount; 24; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00006; s
avgGCPauseσ; 0.00002; s
avgFullGCPause; 0; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 1,280; M
freedMemory; 5,814; M
throughput; 99.99; %
totalTime; 19; s
freedMemoryPerMin; 17,744.479; M/min
gcPerformance; 3,822,485.207; M/s
fullGCPerformance; 0; M/s
