gcLogFile; g1gc_threads2.log; -
totalHeapAllocMax; 562; M
totalHeapUsedMax; 358; M
totalHeapUsedMaxpc; 63.7; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 14; M
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 18; M
freedMemoryByFullGCpc; 0.1; %
avgFreedMemoryByFullGC; 18; M/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 25.5; M
avgfootprintAfterGCσ; 2,132.78; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 18,161; M
freedMemoryByGCpc; 99.9; %
avgFreedMemoryByGC; 252.236; M/coll
avgFreedMemoryByGCσ; 96.919; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -264,488,732; B
promotionTotal; -19,043,188,736; B
pauseCount; 73; -
avgPauseIsSig; false; bool
avgPause; 0.00415; s
avgPauseσ; 0.00145; s
minPause; 0.00198; s
maxPause; 0.01065; s
gcPauseCount; 72; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00406; s
avgGCPauseσ; 0.00123; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01065; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.01065; s
maxFullGCPause; 0.01065; s
accumPause; 0.3; s
fullGCPause; 0.01; s
fullGCPausePc; 3.5; %
gcPause; 0.29; s
gcPausePc; 96.5; %
footprint; 562; M
freedMemory; 18,179; M
throughput; 98.11; %
totalTime; 16; s
freedMemoryPerMin; 68,157.563; M/min
gcPerformance; 62,071.7; M/s
fullGCPerformance; 1,689.665; M/s
