gcLogFile; g1gc.log; -
totalHeapAllocMax; 158; M
totalHeapUsedMax; 128; M
totalHeapUsedMaxpc; 81.0; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 2,048; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 5,120; K
freedMemoryByFullGCpc; 0.2; %
avgFreedMemoryByFullGC; 5,120; K/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 29.176; M
avgfootprintAfterGCσ; 17.687; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 2,012; M
freedMemoryByGCpc; 99.8; %
avgFreedMemoryByGC; 59.176; M/coll
avgFreedMemoryByGCσ; 28.169; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -64,749,568; B
promotionTotal; -2,071,986,176; B
pauseCount; 35; -
avgPauseIsSig; false; bool
avgPause; 0.00294; s
avgPauseσ; 0.00152; s
minPause; 0.00021; s
maxPause; 0.00957; s
gcPauseCount; 34; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00274; s
avgGCPauseσ; 0.001; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.00957; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.00957; s
maxFullGCPause; 0.00957; s
accumPause; 0.1; s
fullGCPause; 0.01; s
fullGCPausePc; 9.3; %
gcPause; 0.09; s
gcPausePc; 90.7; %
footprint; 158; M
freedMemory; 2,017; M
throughput; 98.93; %
totalTime; 9; s
freedMemoryPerMin; 12,619.795; M/min
gcPerformance; 21,561.378; M/s
fullGCPerformance; 522.575; M/s
