gcLogFile; g1gc_threads2.log; -
totalHeapAllocMax; 248; M
totalHeapUsedMax; 145; M
totalHeapUsedMaxpc; 58.5; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 17.667; M
avgfootprintAfterFullGCσ; 10.97; M
avgfootprintAfterFullGCisSig; false; bool
freedMemoryByFullGC; 189; M
freedMemoryByFullGCpc; 16.1; %
avgFreedMemoryByFullGC; 63; M/coll
avgFreedMemoryByFullGCσ; 19.157; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 975.971; K/s
avgRelativePostFullGCInc; 9,728; K/coll
avgfootprintAfterGC; 38; M
avgfootprintAfterGCσ; 23.215; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 4,234.475; K/s
avgRelativePostGCInc; 3,508.185; K/coll
freedMemoryByGC; 988; M
freedMemoryByGCpc; 83.9; %
avgFreedMemoryByGC; 26; M/coll
avgFreedMemoryByGCσ; 25.174; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -36,999,753; B
promotionTotal; -1,035,993,088; B
pauseCount; 41; -
avgPauseIsSig; false; bool
avgPause; 0.01731; s
avgPauseσ; 0.01816; s
minPause; 0.00012; s
maxPause; 0.08647; s
gcPauseCount; 38; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.01386; s
avgGCPauseσ; 0.01037; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; false; bool
avgFullGCPause; 0.06092; s
avgFullGCPauseσ; 0.03909; s
minFullGCPause; 0.01592; s
maxFullGCPause; 0.08647; s
accumPause; 0.71; s
fullGCPause; 0.18; s
fullGCPausePc; 25.8; %
gcPause; 0.53; s
gcPausePc; 74.2; %
footprint; 248; M
freedMemory; 1,177; M
throughput; 97.33; %
totalTime; 26; s
freedMemoryPerMin; 2,658.103; M/min
gcPerformance; 1,875.272; M/s
fullGCPerformance; 1,034.177; M/s
