gcLogFile; g1gc_500M.log; -
totalHeapAllocMax; 500; M
totalHeapUsedMax; 496; M
totalHeapUsedMaxpc; 99.2; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
avgfootprintAfterFullGC; 90.333; M
avgfootprintAfterFullGCσ; 7,260.056; K
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 2,004; M
freedMemoryByFullGCpc; 3.4; %
avgFreedMemoryByFullGC; 334; M/coll
avgFreedMemoryByFullGCσ; 115.694; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 229.348; K/s
avgRelativePostFullGCInc; 3,335.314; K/coll
avgfootprintAfterGC; 245.08; M
avgfootprintAfterGCσ; 124.683; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 14.267; M/s
avgRelativePostGCInc; 2,397.26; K/coll
freedMemoryByGC; 57,733; M
freedMemoryByGCpc; 96.6; %
avgFreedMemoryByGC; 96.222; M/coll
avgFreedMemoryByGCσ; 119.638; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 146.124; M
promotionTotal; 54,916.595; M
pauseCount; 606; -
avgPauseIsSig; false; bool
avgPause; 0.00615; s
avgPauseσ; 0.0146; s
minPause; 0.00021; s
maxPause; 0.15528; s
gcPauseCount; 600; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00476; s
avgGCPauseσ; 0.00437; s
fullGcPauseCount; 6; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.14516; s
avgFullGCPauseσ; 0.00989; s
minFullGCPause; 0.12681; s
maxFullGCPause; 0.15528; s
accumPause; 3.73; s
fullGCPause; 0.87; s
fullGCPausePc; 23.4; %
gcPause; 2.86; s
gcPausePc; 76.6; %
footprint; 500; M
freedMemory; 59,737; M
throughput; 95.8; %
totalTime; 88; s
freedMemoryPerMin; 40,337.769; M/min
gcPerformance; 20,204.675; M/s
fullGCPerformance; 2,300.891; M/s
