gcLogFile; shenandoah_1250M.log; -
totalHeapAllocMax; 1,250; M
totalHeapUsedMax; 853; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 271.700; M
avgfootprintAfterGCσ; 138.690; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 13.191; M/s
avgRelativePostGCInc; 3,569.117; K/coll
freedMemoryByGC; 4,272; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 10.171; M/coll
avgFreedMemoryByGCσ; 5.697; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 420; -
avgPauseIsSig; false; bool
avgPause; 0.0003; s
avgPauseσ; 0.00025; s
minPause; 0.00007; s
maxPause; 0.00103; s
gcPauseCount; 420; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.0003; s
avgGCPauseσ; 0.00025; s
avgFullGCPause; 0; s
accumPause; 0.13; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.13; s
gcPausePc; 100.0; %
footprint; 1,250; M
freedMemory; 4,272; M
throughput; 99.86; %
totalTime; 88; s
freedMemoryPerMin; 2,912.727; M/min
gcPerformance; 32,861.538; M/s
fullGCPerformance; 0; M/s
