gcLogFile; g1gc_threads2.log; -
totalHeapAllocMax; 624; M
totalHeapUsedMax; 487; M
totalHeapUsedMaxpc; 78.0; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 60.667; M
avgfootprintAfterFullGCσ; 21.362; M
avgfootprintAfterFullGCisSig; false; bool
freedMemoryByFullGC; 638; M
freedMemoryByFullGCpc; 10.0; %
avgFreedMemoryByFullGC; 212.667; M/coll
avgFreedMemoryByFullGCσ; 142.693; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 3,024.757; K/s
avgRelativePostFullGCInc; 18.5; M/coll
avgfootprintAfterGC; 53.511; M
avgfootprintAfterGCσ; 27.862; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 5,731.61; K/s
avgRelativePostGCInc; 2,781.226; K/coll
freedMemoryByGC; 5,717; M
freedMemoryByGCpc; 90.0; %
avgFreedMemoryByGC; 121.638; M/coll
avgFreedMemoryByGCσ; 98.751; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -146,212,414; B
promotionTotal; -5,994,708,992; B
pauseCount; 50; -
avgPauseIsSig; false; bool
avgPause; 0.01182; s
avgPauseσ; 0.02033; s
minPause; 0.00022; s
maxPause; 0.10618; s
gcPauseCount; 47; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.0071; s
avgGCPauseσ; 0.00388; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; false; bool
avgFullGCPause; 0.08587; s
avgFullGCPauseσ; 0.03211; s
minFullGCPause; 0.04885; s
maxFullGCPause; 0.10618; s
accumPause; 0.59; s
fullGCPause; 0.26; s
fullGCPausePc; 43.6; %
gcPause; 0.33; s
gcPausePc; 56.4; %
footprint; 624; M
freedMemory; 6,355; M
throughput; 97.89; %
totalTime; 28; s
freedMemoryPerMin; 13,605.429; M/min
gcPerformance; 17,143.56; M/s
fullGCPerformance; 2,476.554; M/s
