gcLogFile; g1gc.log; -
totalHeapAllocMax; 722; M
totalHeapUsedMax; 575; M
totalHeapUsedMaxpc; 79.6; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 65.333; M
avgfootprintAfterFullGCσ; 27.61; M
avgfootprintAfterFullGCisSig; false; bool
freedMemoryByFullGC; 590; M
freedMemoryByFullGCpc; 9.0; %
avgFreedMemoryByFullGC; 196.667; M/coll
avgFreedMemoryByFullGCσ; 250.602; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 3,942.463; K/s
avgRelativePostFullGCInc; 27; M/coll
avgfootprintAfterGC; 56.128; M
avgfootprintAfterGCσ; 31.59; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 4,382.461; K/s
avgRelativePostGCInc; 2,574.15; K/coll
freedMemoryByGC; 5,986; M
freedMemoryByGCpc; 91.0; %
avgFreedMemoryByGC; 127.362; M/coll
avgFreedMemoryByGCσ; 111.543; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -153,092,096; B
promotionTotal; -6,276,775,936; B
pauseCount; 50; -
avgPauseIsSig; false; bool
avgPause; 0.01139; s
avgPauseσ; 0.02142; s
minPause; 0.00022; s
maxPause; 0.11408; s
gcPauseCount; 47; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00653; s
avgGCPauseσ; 0.00335; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; false; bool
avgFullGCPause; 0.08754; s
avgFullGCPauseσ; 0.04158; s
minFullGCPause; 0.03962; s
maxFullGCPause; 0.11408; s
accumPause; 0.57; s
fullGCPause; 0.26; s
fullGCPausePc; 46.1; %
gcPause; 0.31; s
gcPausePc; 53.9; %
footprint; 722; M
freedMemory; 6,576; M
throughput; 97.91; %
totalTime; 27; s
freedMemoryPerMin; 14,450.084; M/min
gcPerformance; 19,499.451; M/s
fullGCPerformance; 2,246.481; M/s
