gcLogFile; g1gc_threads2.log; -
totalHeapAllocMax; 1,292; M
totalHeapUsedMax; 958; M
totalHeapUsedMaxpc; 74.1; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 128.333; M
avgfootprintAfterFullGCσ; 86.025; M
avgfootprintAfterFullGCisSig; false; bool
freedMemoryByFullGC; 726; M
freedMemoryByFullGCpc; 8.6; %
avgFreedMemoryByFullGC; 242; M/coll
avgFreedMemoryByFullGCσ; 100.479; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 20.837; M/s
avgRelativePostFullGCInc; 74.5; M/coll
avgfootprintAfterGC; 87.804; M
avgfootprintAfterGCσ; 68.068; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 21.599; M/s
avgRelativePostGCInc; 7,685; K/coll
freedMemoryByGC; 7,758; M
freedMemoryByGCpc; 91.4; %
avgFreedMemoryByGC; 168.652; M/coll
avgFreedMemoryByGCσ; 165.051; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -193,686,967; B
promotionTotal; -8,134,852,608; B
pauseCount; 49; -
avgPauseIsSig; false; bool
avgPause; 0.0157; s
avgPauseσ; 0.02396; s
minPause; 0.00015; s
maxPause; 0.13899; s
gcPauseCount; 46; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.01074; s
avgGCPauseσ; 0.00909; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; false; bool
avgFullGCPause; 0.09161; s
avgFullGCPauseσ; 0.05208; s
minFullGCPause; 0.03586; s
maxFullGCPause; 0.13899; s
accumPause; 0.77; s
fullGCPause; 0.27; s
fullGCPausePc; 35.7; %
gcPause; 0.49; s
gcPausePc; 64.3; %
footprint; 1,292; M
freedMemory; 8,484; M
throughput; 96.52; %
totalTime; 22; s
freedMemoryPerMin; 23,057.709; M/min
gcPerformance; 15,696.954; M/s
fullGCPerformance; 2,641.518; M/s
