gcLogFile; g1gc.log; -
totalHeapAllocMax; 1,162; M
totalHeapUsedMax; 756; M
totalHeapUsedMaxpc; 65.1; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 129; M
avgfootprintAfterFullGCσ; 86.603; M
avgfootprintAfterFullGCisSig; false; bool
freedMemoryByFullGC; 1,202; M
freedMemoryByFullGCpc; 17.2; %
avgFreedMemoryByFullGC; 400.667; M/coll
avgFreedMemoryByFullGCσ; 159.632; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 23.53; M/s
avgRelativePostFullGCInc; 75; M/coll
avgfootprintAfterGC; 78.476; M
avgfootprintAfterGCσ; 63.312; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 26.013; M/s
avgRelativePostGCInc; 7,788.512; K/coll
freedMemoryByGC; 5,781; M
freedMemoryByGCpc; 82.8; %
avgFreedMemoryByGC; 137.643; M/coll
avgFreedMemoryByGCσ; 130.247; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -159,521,523; B
promotionTotal; -6,061,817,856; B
pauseCount; 45; -
avgPauseIsSig; false; bool
avgPause; 0.01573; s
avgPauseσ; 0.02382; s
minPause; 0.00028; s
maxPause; 0.13753; s
gcPauseCount; 42; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.01064; s
avgGCPauseσ; 0.0083; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; false; bool
avgFullGCPause; 0.08699; s
avgFullGCPauseσ; 0.05391; s
minFullGCPause; 0.03024; s
maxFullGCPause; 0.13753; s
accumPause; 0.71; s
fullGCPause; 0.26; s
fullGCPausePc; 36.9; %
gcPause; 0.45; s
gcPausePc; 63.1; %
footprint; 1,162; M
freedMemory; 6,983; M
throughput; 96.51; %
totalTime; 20; s
freedMemoryPerMin; 20,649.889; M/min
gcPerformance; 12,936.388; M/s
fullGCPerformance; 4,605.946; M/s
