gcLogFile; g1gc_pause50.log; -
totalHeapAllocMax; 1,194; M
totalHeapUsedMax; 896; M
totalHeapUsedMaxpc; 75.0; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 128.333; M
avgfootprintAfterFullGCσ; 86.025; M
avgfootprintAfterFullGCisSig; false; bool
freedMemoryByFullGC; 1,031; M
freedMemoryByFullGCpc; 13.2; %
avgFreedMemoryByFullGC; 343.667; M/coll
avgFreedMemoryByFullGCσ; 165.171; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 22.608; M/s
avgRelativePostFullGCInc; 74.5; M/coll
avgfootprintAfterGC; 81.37; M
avgfootprintAfterGCσ; 66.968; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 22.703; M/s
avgRelativePostGCInc; 7,597.152; K/coll
freedMemoryByGC; 6,755; M
freedMemoryByGCpc; 86.8; %
avgFreedMemoryByGC; 146.848; M/coll
avgFreedMemoryByGCσ; 150.97; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -168,645,973; B
promotionTotal; -7,083,130,880; B
pauseCount; 49; -
avgPauseIsSig; false; bool
avgPause; 0.01401; s
avgPauseσ; 0.02026; s
minPause; 0.0002; s
maxPause; 0.11862; s
gcPauseCount; 46; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00987; s
avgGCPauseσ; 0.00787; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; false; bool
avgFullGCPause; 0.07753; s
avgFullGCPauseσ; 0.04488; s
minFullGCPause; 0.02964; s
maxFullGCPause; 0.11862; s
accumPause; 0.69; s
fullGCPause; 0.23; s
fullGCPausePc; 33.9; %
gcPause; 0.45; s
gcPausePc; 66.1; %
footprint; 1,194; M
freedMemory; 7,786; M
throughput; 96.61; %
totalTime; 20; s
freedMemoryPerMin; 23,091.75; M/min
gcPerformance; 14,875.938; M/s
fullGCPerformance; 4,432.96; M/s
