gcLogFile; g1gc.log; -
totalHeapAllocMax; 258; M
totalHeapUsedMax; 172; M
totalHeapUsedMaxpc; 66.7; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 15.667; M
avgfootprintAfterFullGCσ; 4,138.447; K
avgfootprintAfterFullGCisSig; false; bool
freedMemoryByFullGC; 194; M
freedMemoryByFullGCpc; 1.1; %
avgFreedMemoryByFullGC; 64.667; M/coll
avgFreedMemoryByFullGCσ; 35.81; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 216.705; K/s
avgRelativePostFullGCInc; 3,584; K/coll
avgfootprintAfterGC; 18.321; M
avgfootprintAfterGCσ; 3,176.153; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; 325.849; K/s
avgRelativePostGCInc; 82.213; K/coll
freedMemoryByGC; 17,268; M
freedMemoryByGCpc; 98.9; %
avgFreedMemoryByGC; 102.786; M/coll
avgFreedMemoryByGCσ; 34.462; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -109,077,171; B
promotionTotal; -18,106,810,368; B
pauseCount; 171; -
avgPauseIsSig; false; bool
avgPause; 0.00398; s
avgPauseσ; 0.00773; s
minPause; 0.00021; s
maxPause; 0.08288; s
gcPauseCount; 168; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00306; s
avgGCPauseσ; 0.00164; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; false; bool
avgFullGCPause; 0.05527; s
avgFullGCPauseσ; 0.02897; s
minFullGCPause; 0.02511; s
maxFullGCPause; 0.08288; s
accumPause; 0.68; s
fullGCPause; 0.17; s
fullGCPausePc; 24.4; %
gcPause; 0.51; s
gcPausePc; 75.6; %
footprint; 258; M
freedMemory; 17,462; M
throughput; 98.56; %
totalTime; 47; s
freedMemoryPerMin; 22,176.801; M/min
gcPerformance; 33,539.54; M/s
fullGCPerformance; 1,170.028; M/s
