gcLogFile; zgc_nogen.log; -
totalHeapAllocMax; 3,630; M
totalHeapUsedMax; 3,624; M
totalHeapUsedMaxpc; 99.8; %
totalTenuredAllocMax; n/a; M
totalTenuredUsedMax; n/a; M
totalTenuredUsedMaxpc; n/a; %
totalYoungAllocMax; n/a; M
totalYoungUsedMax; n/a; M
totalYoungUsedMaxpc; n/a; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
footprintAfterFullGC; n.a.; M
slopeAfterFullGC; n.a.; M/s
freedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGCσ; n.a.; M
avgFreedMemoryByFullGCisSig; n.a.; bool
avgfootprintAfterGC; 76; M
avgfootprintAfterGCσ; 45.583; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 22,872; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 1,906; M/coll
avgFreedMemoryByGCσ; 1,337.664; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; n.a.; M
promotionTotal; n.a.; M
pauseCount; 12; -
avgPauseIsSig; false; bool
avgPause; 0.0001; s
avgPauseσ; 0.00011; s
minPause; 0.00004; s
maxPause; 0.00044; s
gcPauseCount; 12; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.0001; s
avgGCPauseσ; 0.00011; s
avgFullGCPause; n.a.; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 3,630; M
freedMemory; 22,872; M
throughput; 100; %
totalTime; 40; s
freedMemoryPerMin; 34,033.977; M/min
gcPerformance; 19,515,358.362; M/s
fullGCPerformance; n.a.; M/s
