gcLogFile; g1gc_threads2.log; -
totalHeapAllocMax; 286; M
totalHeapUsedMax; 187; M
totalHeapUsedMaxpc; 65.4; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 15.667; M
avgfootprintAfterFullGCσ; 4,138.447; K
avgfootprintAfterFullGCisSig; false; bool
freedMemoryByFullGC; 247; M
freedMemoryByFullGCpc; 1.4; %
avgFreedMemoryByFullGC; 82.333; M/coll
avgFreedMemoryByFullGCσ; 39.879; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 223.944; K/s
avgRelativePostFullGCInc; 3,584; K/coll
avgfootprintAfterGC; 18.285; M
avgfootprintAfterGCσ; 3,194.757; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; 344.704; K/s
avgRelativePostGCInc; 84.107; K/coll
freedMemoryByGC; 17,089; M
freedMemoryByGCpc; 98.6; %
avgFreedMemoryByGC; 108.158; M/coll
avgFreedMemoryByGCσ; 38.85; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -114,866,123; B
promotionTotal; -17,919,115,264; B
pauseCount; 161; -
avgPauseIsSig; false; bool
avgPause; 0.00414; s
avgPauseσ; 0.00726; s
minPause; 0.00014; s
maxPause; 0.06855; s
gcPauseCount; 158; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.0033; s
avgGCPauseσ; 0.00307; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; false; bool
avgFullGCPause; 0.04813; s
avgFullGCPauseσ; 0.02282; s
minFullGCPause; 0.0235; s
maxFullGCPause; 0.06855; s
accumPause; 0.67; s
fullGCPause; 0.14; s
fullGCPausePc; 21.7; %
gcPause; 0.52; s
gcPausePc; 78.3; %
footprint; 286; M
freedMemory; 17,336; M
throughput; 98.51; %
totalTime; 44; s
freedMemoryPerMin; 23,262.409; M/min
gcPerformance; 32,760.644; M/s
fullGCPerformance; 1,710.763; M/s
