gcLogFile; g1gc_pause50.log; -
totalHeapAllocMax; 258; M
totalHeapUsedMax; 171; M
totalHeapUsedMaxpc; 66.3; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 15.667; M
avgfootprintAfterFullGCσ; 4,138.447; K
avgfootprintAfterFullGCisSig; false; bool
freedMemoryByFullGC; 192; M
freedMemoryByFullGCpc; 1.1; %
avgFreedMemoryByFullGC; 64; M/coll
avgFreedMemoryByFullGCσ; 51.157; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 221.218; K/s
avgRelativePostFullGCInc; 3,584; K/coll
avgfootprintAfterGC; 18.071; M
avgfootprintAfterGCσ; 3,396.356; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; 295.542; K/s
avgRelativePostGCInc; 86.751; K/coll
freedMemoryByGC; 17,233; M
freedMemoryByGCpc; 98.9; %
avgFreedMemoryByGC; 102.577; M/coll
avgFreedMemoryByGCσ; 38.353; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -108,856,086; B
promotionTotal; -18,070,110,208; B
pauseCount; 171; -
avgPauseIsSig; false; bool
avgPause; 0.00373; s
avgPauseσ; 0.00616; s
minPause; 0.00019; s
maxPause; 0.05275; s
gcPauseCount; 168; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00304; s
avgGCPauseσ; 0.00279; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; false; bool
avgFullGCPause; 0.04192; s
avgFullGCPauseσ; 0.01872; s
minFullGCPause; 0.0203; s
maxFullGCPause; 0.05275; s
accumPause; 0.64; s
fullGCPause; 0.13; s
fullGCPausePc; 19.7; %
gcPause; 0.51; s
gcPausePc; 80.3; %
footprint; 258; M
freedMemory; 17,425; M
throughput; 98.6; %
totalTime; 45; s
freedMemoryPerMin; 22,929.7; M/min
gcPerformance; 33,704.679; M/s
fullGCPerformance; 1,526.705; M/s
