gcLogFile; g1gc_1000M.log; -
totalHeapAllocMax; 977; M
totalHeapUsedMax; 888; M
totalHeapUsedMaxpc; 90.9; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
avgfootprintAfterFullGC; 110.333; M
avgfootprintAfterFullGCσ; 68.705; M
avgfootprintAfterFullGCisSig; false; bool
freedMemoryByFullGC; 1,019; M
freedMemoryByFullGCpc; 3.4; %
avgFreedMemoryByFullGC; 339.667; M/coll
avgFreedMemoryByFullGCσ; 169.63; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 3,505.728; K/s
avgRelativePostFullGCInc; 59.5; M/coll
avgfootprintAfterGC; 224.617; M
avgfootprintAfterGCσ; 173.292; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 21.732; M/s
avgRelativePostGCInc; 4,558.147; K/coll
freedMemoryByGC; 29,154; M
freedMemoryByGCpc; 96.6; %
avgFreedMemoryByGC; 98.827; M/coll
avgFreedMemoryByGCσ; 122.882; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 146.150; M
promotionTotal; 26,842.816; M
pauseCount; 298; -
avgPauseIsSig; false; bool
avgPause; 0.0293; s
avgPauseσ; 0.0624; s
minPause; 0.00013; s
maxPause; 0.41185; s
gcPauseCount; 295; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.02876; s
avgGCPauseσ; 0.06236; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; false; bool
avgFullGCPause; 0.0821; s
avgFullGCPauseσ; 0.04864; s
minFullGCPause; 0.0263; s
maxFullGCPause; 0.11559; s
accumPause; 8.73; s
fullGCPause; 0.25; s
fullGCPausePc; 2.8; %
gcPause; 8.49; s
gcPausePc; 97.2; %
footprint; 977; M
freedMemory; 30,173; M
throughput; 86.84; %
totalTime; 66; s
freedMemoryPerMin; 27,280.919; M/min
gcPerformance; 3,435.865; M/s
fullGCPerformance; 4,137.097; M/s
