gcLogFile; zgc_nogen_1250M.log; -
totalHeapAllocMax; 1,250; M
totalHeapUsedMax; 1,040; M
totalHeapUsedMaxpc; 83.2; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 481.229; M
avgfootprintAfterGCσ; 273.134; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 24.030; M/s
avgRelativePostGCInc; 5,102.605; K/coll
freedMemoryByGC; 11,588; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 106.312; M/coll
avgFreedMemoryByGCσ; 207.061; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 109; -
avgPauseIsSig; false; bool
avgPause; 0.00009; s
avgPauseσ; 0.00004; s
minPause; 0.00003; s
maxPause; 0.00027; s
gcPauseCount; 109; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00009; s
avgGCPauseσ; 0.00004; s
avgFullGCPause; 0; s
accumPause; 0.01; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.01; s
gcPausePc; 100.0; %
footprint; 1,250; M
freedMemory; 11,588; M
throughput; 99.99; %
totalTime; 71; s
freedMemoryPerMin; 9,665.387; M/min
gcPerformance; 1,248,841.47; M/s
fullGCPerformance; 0; M/s
