gcLogFile; g1gc.log; -
totalHeapAllocMax; 248; M
totalHeapUsedMax; 128; M
totalHeapUsedMaxpc; 51.6; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 3,754.667; K
avgfootprintAfterFullGCσ; 591.207; K
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 196; M
freedMemoryByFullGCpc; 1.5; %
avgFreedMemoryByFullGC; 65.333; M/coll
avgFreedMemoryByFullGCσ; 45.797; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 59.93; K/s
avgRelativePostFullGCInc; 512; K/coll
avgfootprintAfterGC; 4,082.162; K
avgfootprintAfterGCσ; 118.632; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; 0; B/s
avgRelativePostGCInc; 0; B/coll
freedMemoryByGC; 12,749; M
freedMemoryByGCpc; 98.5; %
avgFreedMemoryByGC; 86.142; M/coll
avgFreedMemoryByGCσ; 23.689; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -90,326,320; B
promotionTotal; -13,368,295,424; B
pauseCount; 151; -
avgPauseIsSig; false; bool
avgPause; 0.00206; s
avgPauseσ; 0.00283; s
minPause; 0.00104; s
maxPause; 0.02373; s
gcPauseCount; 148; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00176; s
avgGCPauseσ; 0.0019; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01672; s
avgFullGCPauseσ; 0.00246; s
minFullGCPause; 0.01486; s
maxFullGCPause; 0.01951; s
accumPause; 0.31; s
fullGCPause; 0.05; s
fullGCPausePc; 16.1; %
gcPause; 0.26; s
gcPausePc; 83.9; %
footprint; 248; M
freedMemory; 12,945; M
throughput; 98.79; %
totalTime; 25; s
freedMemoryPerMin; 30,090.612; M/min
gcPerformance; 48,853.295; M/s
fullGCPerformance; 3,907.029; M/s
