gcLogFile; zgc_nogen.log; -
totalHeapAllocMax; 3,922; M
totalHeapUsedMax; 3,570; M
totalHeapUsedMaxpc; 91.0; %
totalTenuredAllocMax; n/a; M
totalTenuredUsedMax; n/a; M
totalTenuredUsedMaxpc; n/a; %
totalYoungAllocMax; n/a; M
totalYoungUsedMax; n/a; M
totalYoungUsedMaxpc; n/a; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
footprintAfterFullGC; n.a.; M
slopeAfterFullGC; n.a.; M/s
freedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGCσ; n.a.; M
avgFreedMemoryByFullGCisSig; n.a.; bool
avgfootprintAfterGC; 490.111; M
avgfootprintAfterGCσ; 346.528; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 25,050; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 695.833; M/coll
avgFreedMemoryByGCσ; 648.623; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; n.a.; M
promotionTotal; n.a.; M
pauseCount; 36; -
avgPauseIsSig; false; bool
avgPause; 0.00008; s
avgPauseσ; 0.00003; s
minPause; 0.00004; s
maxPause; 0.00021; s
gcPauseCount; 36; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00008; s
avgGCPauseσ; 0.00003; s
avgFullGCPause; n.a.; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 3,922; M
freedMemory; 25,050; M
throughput; 100; %
totalTime; 72; s
freedMemoryPerMin; 20,659.212; M/min
gcPerformance; 8,480,027.082; M/s
fullGCPerformance; n.a.; M/s
