gcLogFile; g1gc_pause50.log; -
totalHeapAllocMax; 3,410; M
totalHeapUsedMax; 1,678; M
totalHeapUsedMaxpc; 49.2; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 109.333; M
avgfootprintAfterFullGCσ; 68.705; M
avgfootprintAfterFullGCisSig; false; bool
freedMemoryByFullGC; 3,622; M
freedMemoryByFullGCpc; 14.2; %
avgFreedMemoryByFullGC; 1,207.333; M/coll
avgFreedMemoryByFullGCσ; 502.005; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 3,119.452; K/s
avgRelativePostFullGCInc; 59.5; M/coll
avgfootprintAfterGC; 384.387; M
avgfootprintAfterGCσ; 392.606; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 54.129; M/s
avgRelativePostGCInc; 11.981; M/coll
freedMemoryByGC; 21,878; M
freedMemoryByGCpc; 85.8; %
avgFreedMemoryByGC; 81.331; M/coll
avgFreedMemoryByGCσ; 61.843; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -106,613,355; B
promotionTotal; -22,921,871,360; B
pauseCount; 272; -
avgPauseIsSig; false; bool
avgPause; 0.03958; s
avgPauseσ; 0.08444; s
minPause; 0.00013; s
maxPause; 0.84981; s
gcPauseCount; 269; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.03886; s
avgGCPauseσ; 0.08443; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; false; bool
avgFullGCPause; 0.10412; s
avgFullGCPauseσ; 0.06776; s
minFullGCPause; 0.03501; s
maxFullGCPause; 0.17045; s
accumPause; 10.76; s
fullGCPause; 0.31; s
fullGCPausePc; 2.9; %
gcPause; 10.45; s
gcPausePc; 97.1; %
footprint; 3,410; M
freedMemory; 25,500; M
throughput; 85.97; %
totalTime; 76; s
freedMemoryPerMin; 19,946.809; M/min
gcPerformance; 2,093.078; M/s
fullGCPerformance; 11,595.038; M/s
