gcLogFile; g1gc.log; -
totalHeapAllocMax; 2,620; M
totalHeapUsedMax; 1,299; M
totalHeapUsedMaxpc; 49.6; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 87; M
avgfootprintAfterFullGCσ; 9,385.115; K
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 1,625; M
freedMemoryByFullGCpc; 1.9; %
avgFreedMemoryByFullGC; 541.667; M/coll
avgFreedMemoryByFullGCσ; 388.384; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 364.593; K/s
avgRelativePostFullGCInc; 9,216; K/coll
avgfootprintAfterGC; 142.611; M
avgfootprintAfterGCσ; 99.512; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 2,101.696; K/s
avgRelativePostGCInc; 1,196.231; K/coll
freedMemoryByGC; 84,087; M
freedMemoryByGCpc; 98.1; %
avgFreedMemoryByGC; 230.375; M/coll
avgFreedMemoryByGCσ; 285.212; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -351,084,968; B
promotionTotal; -88,122,327,040; B
pauseCount; 368; -
avgPauseIsSig; false; bool
avgPause; 0.00765; s
avgPauseσ; 0.01601; s
minPause; 0.00016; s
maxPause; 0.16926; s
gcPauseCount; 365; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00639; s
avgGCPauseσ; 0.00788; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.16118; s
avgFullGCPauseσ; 0.00818; s
minFullGCPause; 0.1529; s
maxFullGCPause; 0.16926; s
accumPause; 2.82; s
fullGCPause; 0.48; s
fullGCPausePc; 17.2; %
gcPause; 2.33; s
gcPausePc; 82.8; %
footprint; 2,620; M
freedMemory; 85,712; M
throughput; 96.99; %
totalTime; 93; s
freedMemoryPerMin; 54,963.859; M/min
gcPerformance; 36,050.145; M/s
fullGCPerformance; 3,360.708; M/s
