gcLogFile; zgc_nogen.log; -
totalHeapAllocMax; 3,922; M
totalHeapUsedMax; 3,464; M
totalHeapUsedMaxpc; 88.3; %
totalTenuredAllocMax; n/a; M
totalTenuredUsedMax; n/a; M
totalTenuredUsedMaxpc; n/a; %
totalYoungAllocMax; n/a; M
totalYoungUsedMax; n/a; M
totalYoungUsedMaxpc; n/a; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
footprintAfterFullGC; n.a.; M
slopeAfterFullGC; n.a.; M/s
freedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGCσ; n.a.; M
avgFreedMemoryByFullGCisSig; n.a.; bool
avgfootprintAfterGC; 357.739; M
avgfootprintAfterGCσ; 238.067; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 82,464; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 1,792.696; M/coll
avgFreedMemoryByGCσ; 976.509; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; n.a.; M
promotionTotal; n.a.; M
pauseCount; 46; -
avgPauseIsSig; false; bool
avgPause; 0.00007; s
avgPauseσ; 0.00002; s
minPause; 0.00004; s
maxPause; 0.00015; s
gcPauseCount; 46; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00007; s
avgGCPauseσ; 0.00002; s
avgFullGCPause; n.a.; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 3,922; M
freedMemory; 82,464; M
throughput; 100; %
totalTime; 92; s
freedMemoryPerMin; 53,738.204; M/min
gcPerformance; 25,601,986.961; M/s
fullGCPerformance; n.a.; M/s
